SEP=,
ReqID,a(SrcNode),i(DesNode),k(Path),p(Ratio),dtTrans,tArrival,start,end,timeSer(PSO),t_wait,t_proc,t_serv,moved_data,t_trans_vr,t_end_real
1,V0,R0,R0,1.0,1.0,0.0,0.17575757575757578,0.17575757575757578,1.525757575757576,1.3500000000000003,0.0,1.3500000000000003,1.3500000000000003,0.0,0.17575757575757578,
2,V0,R0,R0,1.0,1.0,0.0,1.1757575757575758,1.525757575757576,2.8757575757575764,1.8757575757575762,0.3500000000000003,1.3500000000000003,1.7000000000000006,0.0,0.17575757575757578,
3,V0,R0,R1,1.0,1.0,1.6363636363636365,3.8121212121212125,3.8121212121212125,5.162121212121213,2.9863636363636368,0.0,1.3500000000000005,2.986363636363637,0.0,0.17575757575757578,
4,V0,R0,R0,1.0,1.0,0.0,3.175757575757576,3.175757575757576,4.525757575757576,1.3500000000000003,0.0,1.3500000000000005,1.3500000000000005,0.0,0.17575757575757578,
5,V0,R0,R0,1.0,1.0,0.0,4.175757575757576,4.525757575757576,5.875757575757577,1.8757575757575768,0.35000000000000053,1.3500000000000005,1.700000000000001,0.0,0.17575757575757578,
6,V0,R0,R3,1.0,1.0,1.6363636363636365,6.8121212121212125,6.8121212121212125,8.162121212121212,2.9863636363636368,0.0,1.3499999999999996,2.9863636363636363,0.0,0.17575757575757578,
7,V0,R0,R0,1.0,1.0,0.0,6.175757575757576,6.175757575757576,7.525757575757576,1.3500000000000003,0.0,1.3500000000000005,1.3500000000000005,0.0,0.17575757575757578,
8,V0,R0,R0,1.0,1.0,0.0,7.175757575757576,7.525757575757576,8.875757575757577,1.8757575757575753,0.35000000000000053,1.3500000000000005,1.700000000000001,0.0,0.17575757575757578,
9,V0,R0,R1,1.0,1.0,1.6363636363636365,9.812121212121212,9.812121212121212,11.162121212121212,2.9863636363636368,0.0,1.3499999999999996,2.9863636363636363,0.0,0.17575757575757578,
10,V0,R0,R0,1.0,1.0,0.0,9.175757575757576,9.175757575757576,10.525757575757575,1.3500000000000003,0.0,1.3499999999999996,1.3499999999999996,0.0,0.17575757575757578,
