
1.1.true

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data
5	V6	V11	V6	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
15	V9	V4	V9	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
15	V9	V9	V9	0.8787878787878789	0.0	4.0	4.0	5.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
15	V9	V14	V9	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
25	V8	V2	V8	0.06043168762904963	0.12086337525809926	4.120863375258099	4.121212121212121	5.11833496709144	1.2391983423495392	3.4874595402190067E-4	0.9971228458793187	1.1183349670914398	0.0
25	V8	V3	V8	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
25	V8	V7	V8	0.0606060606060606	0.1212121212121212	4.121212121212121	8.325109179464548	9.325109179464548	5.446321300676669	4.203897058252426	1.0	5.3251091794645475	0.0
25	V8	V8	V8	0.6971440699467082	0.0	4.0	4.0	5.0	11.502877154120686	0.0	1.0	1.0	318.2690046703238
25	V8	V12	V8	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.121212121212121	0.0	1.0	1.121212121212121	0.0
25	V8	V13	V8	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
6	V6	V1	V6	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.242424242424242	0.0	1.0	1.121212121212121	0.0
6	V6	V5	V6	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.1969364009652492	0.0	1.0	1.121212121212121	0.0
6	V6	V6	V6	0.6969696969696972	0.0	5.0	5.0	6.0	11.500000000000005	0.0	1.0	1.0	318.1818181818183
6	V6	V7	V6	0.0606060606060606	0.1212121212121212	5.121212121212121	10.305649026028993	11.305649026028993	6.426861147241114	5.184436904816872	1.0	6.305649026028993	0.0
6	V6	V10	V6	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.242424242424242	0.0	1.0	1.121212121212121	0.0
6	V6	V11	V6	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
16	V9	V4	V9	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
16	V9	V9	V9	0.8787878787878789	0.0	5.0	5.0	6.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
16	V9	V14	V9	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
26	V8	V2	V8	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.239547088303561	0.0	1.0	1.121212121212121	0.0
26	V8	V3	V8	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
26	V8	V7	V8	0.05942665736754211	0.11885331473508422	5.118853314735084	9.325109179464548	10.305649026028993	6.424502340764078	4.206255864729464	0.9805398465644455	5.305649026028993	0.0
26	V8	V8	V8	0.7193855218750554	0.0	5.0	5.0	6.0	11.869861110938416	0.0	1.0	1.0	329.3897306344974
26	V8	V12	V8	0.03936963893922075	0.0787392778784415	5.078739277878442	5.121212121212121	5.770811163709263	0.8495504415877049	0.0424728433336794	0.6495990424971421	0.770811163709263	0.0
26	V8	V13	V8	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
7	V6	V1	V6	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
7	V6	V5	V6	0.014240497902740424	0.028480995805480847	6.028480995805481	6.121212121212121	6.356180336607338	0.38466133241282074	0.0927311254066403	0.23496821539521662	0.3561803366073378	0.0
7	V6	V6	V6	0.8039413202790779	0.0	6.0	6.0	7.0	13.265031784604787	0.0	1.0	1.0	371.66762983650864
7	V6	V7	V6	0.0606060606060606	0.1212121212121212	6.121212121212121	11.305649026028993	12.305649026028993	7.426861147241113	5.184436904816872	1.0	6.305649026028993	0.0
