

1.1.true

 Vehicle logging
ID,Tser
1,	1.2424242424242422
21,	1.2424242424242422
41,	1.8142449603575672
2,	1.8142449603575672
22,	1.9104241866189384
42,	2.814244960357567
3,	2.814244960357567
23,	2.242424242424242
43,	3.814244960357567
4,	4.814244960357567
24,	4.242424242424242
44,	3.910424186618938
5,	3.9564994026144884
25,	4.910424186618938
45,	5.242424242424242
6,	3.4974102939117824
26,	5.242424242424242
46,	6.242424242424242
7,	3.4138872188425182
27,	6.242424242424242
47,	7.242424242424242
8,	3.4138872188425182
28,	7.242424242424242
48,	8.242424242424242
9,	1.2424242424242422
29,	9.242424242424242
49,	8.91042418661894
10,	1.2424242424242422
30,	9.91042418661894
50,	9.242424242424242
11,	1.2424242424242422
31,	1.0
51,	1.0
12,	1.2424242424242422
32,	1.0
52,	1.0
13,	1.2424242424242422
33,	1.0
53,	1.0
14,	1.2424242424242422
34,	1.0
54,	1.0
15,	1.2424242424242422
35,	1.0
55,	1.0
16,	1.2424242424242422
36,	1.0
56,	1.0
17,	1.2424242424242422
37,	1.0
57,	1.0
18,	1.2424242424242422
38,	1.0
58,	1.0
19,	0.0
39,	0.0
59,	0.0
20,	0.0
40,	0.0
60,	0.0
 RSU logging
ID,Tser
1,	2.700496401889196
21,	3.6363636363636367
41,	2.6363636363636367
2,	2.5286853721653215
22,	2.6545454545454548
42,	3.6363636363636367
3,	2.5702178572680605
23,	3.5212121212121215
43,	2.5212121212121215
4,	2.566483652703373
24,	3.6363636363636367
44,	2.6363636363636367
5,	2.5212121212121215
25,	0.0
45,	2.654545454545455
6,	2.5824240023724823
26,	0.0
46,	2.6363636363636367
7,	2.6363636363636367
27,	0.0
47,	0.0
8,	2.420507393920344
28,	0.0
48,	0.0
9,	2.5151515151515156
29,	0.0
49,	0.0
10,	2.5151515151515156
30,	0.0
50,	0.0
11,	0.0
31,	0.0
51,	0.0
12,	2.5151515151515156
32,	0.0
52,	0.0
13,	2.537213434902972
33,	0.0
53,	0.0
14,	2.537213434902972
34,	0.0
54,	0.0
15,	2.5372134349029736
35,	0.0
55,	0.0
16,	2.6363636363636367
36,	0.0
56,	0.0
17,	2.6363636363636367
37,	0.0
57,	0.0
18,	0.0
38,	0.0
58,	0.0
19,	0.0
39,	0.0
59,	0.0
20,	0.0
40,	0.0
60,	0.0
 Cloud logging
ID,Tser
