
1.1.true

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data
1	V0	V0	V0	0.8787878787878789	0.0	0.0	0.0	1.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
1	V0	V1	V0	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
1	V0	V5	V0	0.0606060606060606	0.1212121212121212	0.1212121212121212	0.1212121212121212	1.121212121212121	1.121212121212121	0.0	0.9999999999999999	1.121212121212121	0.0
2	V0	V0	V0	0.8787878787878789	0.0	1.0	1.0	2.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
2	V0	V1	V0	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
2	V0	V5	V0	0.0606060606060606	0.1212121212121212	1.121212121212121	1.121212121212121	2.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
3	V0	V0	V0	0.8787878787878789	0.0	2.0	2.0	3.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
3	V0	V1	V0	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
3	V0	V5	V0	0.0606060606060606	0.1212121212121212	2.121212121212121	2.121212121212121	3.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
4	V0	V0	V0	0.8787878787878789	0.0	3.0	3.0	4.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
4	V0	V1	V0	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
4	V0	V5	V0	0.0606060606060606	0.1212121212121212	3.121212121212121	3.121212121212121	4.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
5	V0	V0	V0	0.8787878787878789	0.0	4.0	4.0	5.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
5	V0	V1	V0	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
5	V0	V5	V0	0.0606060606060606	0.1212121212121212	4.121212121212121	4.121212121212121	5.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
6	V0	V0	V0	0.8787878787878789	0.0	5.0	5.0	6.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
6	V0	V1	V0	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
6	V0	V5	V0	0.0606060606060606	0.1212121212121212	5.121212121212121	5.121212121212121	6.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
7	V0	V0	V0	0.8787878787878789	0.0	6.0	6.0	7.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
7	V0	V1	V0	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
7	V0	V5	V0	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
8	V0	V0	V0	0.8787878787878789	0.0	7.0	7.0	8.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
8	V0	V1	V0	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
8	V0	V5	V0	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
9	V0	V0	V0	0.8787878787878789	0.0	8.0	8.0	9.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
9	V0	V1	V0	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
9	V0	V5	V0	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
10	V0	V0	V0	0.8787878787878789	0.0	9.0	9.0	10.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
10	V0	V1	V0	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
10	V0	V5	V0	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0


 RSU TOPO 

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data	t_trans_vr	t_end_real
1	V0-R0	R0	R0	1.0	0.0	0.17575757575757578	0.17575757575757578	1.525757575757576	1.3500000000000003	0.0	1.3500000000000003	1.3500000000000003	0.0	0.17575757575757578	
2	V0-R0	R0	R0	1.0	0.0	1.1757575757575758	1.525757575757576	2.8757575757575764	1.8757575757575762	0.3500000000000003	1.3500000000000003	1.7000000000000006	0.0	0.17575757575757578	
3	V0-R0	R1	R0	1.0	1.6363636363636365	3.8121212121212125	3.8121212121212125	5.162121212121213	2.9863636363636368	0.0	1.3500000000000005	2.986363636363637	0.0	0.17575757575757578	
