
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
41,	V8,	V8,	V8,	0.8181818181818183,	0.0,	0.0,	0.0,	1.0,	13.500000000000004,	0.0,	1.0,	1.0,	378.78787878787887
41,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	0.1212121212121212,	0.1212121212121212,	1.2424242424242422,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
2,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.121212121212121,	2.242424242424242,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
2,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.2424242424242422,	2.242424242424242,	1.2424242424242424,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
2,	V6,	V5,	V6,	0.05720912835460607,	0.11441825670921214,	1.1144182567092122,	1.2424242424242422,	2.1863748602752424,	1.1795809957723338,	0.12800598571502997,	0.9439506178510002,	1.1863748602752424,	0.0
2,	V6,	V6,	V6,	0.7003666292211517,	0.0,	1.0,	1.0,	2.0,	11.556049382149004,	0.0,	1.0,	1.0,	319.88028430754554
2,	V6,	V7,	V6,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.8142449603575672,	2.814244960357567,	2.8560185488518766,	0.6930328391454461,	1.0,	1.8142449603575672,	0.0
2,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.2424242424242422,	2.242424242424242,	1.2424242424242424,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
22,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.9104241866189384,	2.9104241866189384,	1.9104241866189389,	0.7892120654068173,	1.0,	1.9104241866189384,	0.0
22,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.2424242424242422,	2.242424242424242,	2.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
22,	V9,	V9,	V9,	0.7575757575757578,	0.0,	1.0,	1.0,	2.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
22,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.2424242424242422,	2.242424242424242,	2.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
22,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	1.2424242424242422,	2.242424242424242,	2.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
42,	V8,	V3,	V8,	0.04048484510270887,	0.08096969020541774,	1.0809696902054178,	1.2424242424242422,	1.9104241866189384,	1.8701817556122353,	0.16145455221882443,	0.6679999441946962,	0.9104241866189384,	0.0
42,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	2.242424242424242,	3.242424242424242,	2.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
42,	V8,	V7,	V8,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	2.814244960357567,	3.814244960357567,	2.8560185488518766,	1.6930328391454461,	1.0,	2.814244960357567,	0.0
42,	V8,	V8,	V8,	0.7170909124730489,	0.0,	1.0,	1.0,	2.0,	11.832000055805308,	0.0,	1.0,	1.0,	328.24242593349413
42,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	2.242424242424242,	3.242424242424242,	2.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
42,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	1.121212121212121,	2.242424242424242,	3.242424242424242,	2.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
3,	V6,	V0,	V6,	0.038330726035179265,	0.07666145207035853,	2.0766614520703586,	2.242424242424242,	2.8748812220047,	0.8303305528629377,	0.16576279035388364,	0.632456979580458,	0.8748812220047002,	0.0
3,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	2.242424242424242,	3.242424242424242,	1.2424242424242424,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
3,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	2.1863748602752424,	3.1863748602752424,	1.1863748602752426,	0.06516273906312131,	1.0,	1.1863748602752424,	0.0
3,	V6,	V6,	V6,	0.7192450315405785,	0.0,	2.0,	2.0,	3.0,	11.867543020419545,	0.0,	1.0,	1.0,	329.3194854672589
3,	V6,	V7,	V6,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	3.814244960357567,	4.814244960357567,	3.856018548851877,	1.6930328391454461,	1.0,	2.814244960357567,	0.0
3,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	2.242424242424242,	3.242424242424242,	1.2424242424242424,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
23,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	2.9104241866189384,	3.9104241866189384,	2.9104241866189384,	0.7892120654068173,	1.0,	1.9104241866189384,	0.0
23,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	3.242424242424242,	4.242424242424242,	3.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
23,	V9,	V9,	V9,	0.7575757575757578,	0.0,	2.0,	2.0,	3.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
23,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	3.242424242424242,	4.242424242424242,	3.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
23,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	3.242424242424242,	4.242424242424242,	3.242424242424242,	1.121212121212121,	1.0,	2.242424242424242,	0.0
43,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	3.9104241866189384,	4.910424186618938,	2.9104241866189384,	1.7892120654068173,	0.9999999999999996,	2.910424186618938,	0.0
